error_level,classic,trust,ack_each,fixed_time,lambda_0_05,lambda_0_1,lambda_0_2,lambda_0_4,lambda_0_6,lambda_0_8
0.000000,1.123395,1.000000,10.066199,3.084490,1.006170,1.012339,1.024679,1.049358,1.074037,1.098716
0.030612,1.123395,1.000285,10.066199,3.084490,1.006499,1.012714,1.025143,1.050001,1.074860,1.099718
0.061224,1.123395,1.001128,10.066199,3.084490,1.007496,1.013864,1.026601,1.052074,1.077548,1.103021
0.091837,1.123395,1.002546,10.066199,3.084490,1.009132,1.015717,1.028888,1.055230,1.081572,1.107913
0.122449,1.123395,1.004670,10.066199,3.084490,1.011624,1.018577,1.032484,1.060297,1.088111,1.114237
0.153061,1.123395,1.007457,10.066199,3.084490,1.014805,1.022153,1.036850,1.066243,1.095636,1.117199
0.183673,1.123395,1.011331,10.066199,3.084490,1.019258,1.027186,1.043040,1.074749,1.106458,1.120302
0.214286,1.123395,1.016141,10.066199,3.084490,1.024650,1.033159,1.050177,1.084213,1.117504,1.121430
0.244898,1.123395,1.022256,10.066199,3.084490,1.031491,1.040725,1.059194,1.096131,1.126847,1.123079
0.275510,1.123395,1.030787,10.066199,3.084490,1.041005,1.051223,1.071660,1.112533,1.135930,1.125351
0.306122,1.123395,1.039976,10.066199,3.084490,1.051118,1.062261,1.084546,1.128884,1.140374,1.126394
0.336735,1.123395,1.052619,10.066199,3.084490,1.064927,1.077235,1.101851,1.146139,1.144933,1.126500
0.367347,1.123395,1.068143,10.066199,3.084490,1.081830,1.095518,1.122893,1.161082,1.149543,1.127744
0.397959,1.123395,1.086329,10.066199,3.084490,1.101480,1.116632,1.146837,1.172299,1.152583,1.128594
0.428571,1.123395,1.110758,10.066199,3.084490,1.127707,1.144655,1.172356,1.181571,1.156049,1.129682
0.459184,1.123395,1.150838,10.066199,3.084490,1.170472,1.187107,1.195890,1.192276,1.159153,1.129610
0.489796,1.123395,1.226804,10.066199,3.084490,1.237636,1.229313,1.215242,1.199325,1.161404,1.130594
0.520408,1.123395,1.568997,10.066199,3.084490,1.306150,1.266483,1.232452,1.206543,1.163661,1.131344
0.551020,1.123395,2.026046,10.066199,3.084490,1.368189,1.299865,1.248163,1.211630,1.165161,1.132443
0.581633,1.123395,2.450802,10.066199,3.084490,1.422510,1.328099,1.259581,1.216267,1.166119,1.132069
0.612245,1.123395,2.751460,10.066199,3.084490,1.470665,1.355550,1.273369,1.221193,1.167909,1.132104
0.642857,1.123395,3.065130,10.066199,3.084490,1.517887,1.381053,1.285976,1.226182,1.169159,1.132197
0.673469,1.123395,3.380939,10.066199,3.084490,1.558624,1.402877,1.295044,1.230320,1.171174,1.132405
0.704082,1.123395,3.617431,10.066199,3.084490,1.596697,1.423327,1.304848,1.234138,1.172118,1.133426
0.734694,1.123395,3.852544,10.066199,3.084490,1.629262,1.440586,1.312654,1.238022,1.173134,1.133185
0.765306,1.123395,4.055273,10.066199,3.084490,1.662199,1.460413,1.323159,1.241445,1.174487,1.133279
0.795918,1.123395,4.237729,10.066199,3.084490,1.690896,1.475270,1.328349,1.243079,1.174978,1.133208
0.826531,1.123395,4.440946,10.066199,3.084490,1.718176,1.490520,1.335598,1.246455,1.175180,1.134048
0.857143,1.123395,4.573457,10.066199,3.084490,1.742066,1.503980,1.342451,1.249231,1.176807,1.134192
