error_level,classic,trust,ack_each,fixed_time,lambda_0_05,lambda_0_1,lambda_0_2,lambda_0_4,lambda_0_6,lambda_0_8
0.000000,1.170715,1.000000,4.485079,2.867917,1.008536,1.017072,1.034143,1.068286,1.102429,1.136572
0.030612,1.170715,1.000205,4.485079,2.867917,1.008780,1.017355,1.034506,1.068807,1.103109,1.137410
0.061224,1.170715,1.000842,4.485079,2.867917,1.009489,1.018137,1.035433,1.070024,1.104615,1.139207
0.091837,1.170715,1.001974,4.485079,2.867917,1.010782,1.019590,1.037206,1.072439,1.107671,1.142904
0.122449,1.170715,1.003529,4.485079,2.867917,1.012535,1.021542,1.039554,1.075580,1.111605,1.146307
0.153061,1.170715,1.005856,4.485079,2.867917,1.015123,1.024390,1.042925,1.079993,1.117062,1.148251
0.183673,1.170715,1.008959,4.485079,2.867917,1.018641,1.028322,1.047686,1.086413,1.125141,1.150745
0.214286,1.170715,1.013041,4.485079,2.867917,1.023146,1.033252,1.053463,1.093884,1.133756,1.152026
0.244898,1.170715,1.018438,4.485079,2.867917,1.029083,1.039727,1.061016,1.103594,1.140624,1.153168
0.275510,1.170715,1.025421,4.485079,2.867917,1.036767,1.048114,1.070807,1.116194,1.146464,1.154025
0.306122,1.170715,1.034847,4.485079,2.867917,1.047057,1.059267,1.083687,1.132246,1.151093,1.155540
0.336735,1.170715,1.047497,4.485079,2.867917,1.060798,1.074099,1.100701,1.147870,1.154476,1.156694
0.367347,1.170715,1.063895,4.485079,2.867917,1.078507,1.093120,1.122344,1.159880,1.157870,1.157878
0.397959,1.170715,1.087061,4.485079,2.867917,1.103384,1.119707,1.152214,1.170306,1.160489,1.158745
0.428571,1.170715,1.118633,4.485079,2.867917,1.137219,1.155805,1.185411,1.181338,1.163229,1.159728
0.459184,1.170715,1.164927,4.485079,2.867917,1.186454,1.205729,1.213987,1.188747,1.165015,1.160078
0.489796,1.170715,1.230578,4.485079,2.867917,1.248303,1.252953,1.238173,1.195296,1.167180,1.159941
0.520408,1.170715,1.396780,4.485079,2.867917,1.310083,1.295484,1.259672,1.201143,1.169645,1.161195
0.551020,1.170715,1.593774,4.485079,2.867917,1.369063,1.338348,1.282940,1.209351,1.172681,1.162864
0.581633,1.170715,1.760394,4.485079,2.867917,1.418268,1.372709,1.300540,1.213896,1.172652,1.162312
0.612245,1.170715,1.908297,4.485079,2.867917,1.462001,1.401944,1.315229,1.218017,1.174453,1.162620
0.642857,1.170715,2.040918,4.485079,2.867917,1.503340,1.432464,1.330417,1.223245,1.176218,1.163476
0.673469,1.170715,2.159416,4.485079,2.867917,1.537877,1.455959,1.342178,1.225933,1.177225,1.163612
0.704082,1.170715,2.266154,4.485079,2.867917,1.574105,1.483401,1.356212,1.230536,1.180243,1.165541
0.734694,1.170715,2.363890,4.485079,2.867917,1.604264,1.502892,1.366656,1.233235,1.179490,1.165252
0.765306,1.170715,2.452566,4.485079,2.867917,1.631776,1.521302,1.377673,1.236792,1.180538,1.164701
0.795918,1.170715,2.532118,4.485079,2.867917,1.654350,1.537847,1.385971,1.239401,1.182504,1.165731
0.826531,1.170715,2.608613,4.485079,2.867917,1.683728,1.558507,1.395515,1.241659,1.182674,1.166079
0.857143,1.170715,2.678721,4.485079,2.867917,1.704533,1.573836,1.403564,1.244535,1.184606,1.166178
0.887755,1.170715,2.740260,4.485079,2.867917,1.725032,1.589153,1.412523,1.247163,1.185311,1.166862
0.918367,1.170715,2.803371,4.485079,2.867917,1.747152,1.603883,1.420773,1.249882,1.185869,1.167084
0.948980,1.170715,2.859967,4.485079,2.867917,1.766537,1.617316,1.427121,1.252188,1.188092,1.168165
0.979592,1.170715,2.910092,4.485079,2.867917,1.783652,1.629220,1.431552,1.253474,1.187750,1.167492
1.010204,1.170715,2.959483,4.485079,2.867917,1.800547,1.643071,1.440067,1.255485,1.188400,1.168637
