error_level,classic,trust,ack_each,fixed_time,lambda_0_05,lambda_0_1,lambda_0_2,lambda_0_4,lambda_0_6,lambda_0_8
0.000000,1.126710,1.000000,3.448205,2.561339,1.006336,1.012671,1.025342,1.050684,1.076026,1.101368
0.030612,1.126710,1.000257,3.448205,2.561339,1.006637,1.013017,1.025778,1.051299,1.076820,1.102341
0.061224,1.126710,1.001034,3.448205,2.561339,1.007544,1.014054,1.027073,1.053113,1.079153,1.105192
0.091837,1.126710,1.002430,3.448205,2.561339,1.009193,1.015955,1.029481,1.056532,1.083584,1.110635
0.122449,1.126710,1.004485,3.448205,2.561339,1.011532,1.018578,1.032671,1.060856,1.089041,1.115462
0.153061,1.126710,1.007374,3.448205,2.561339,1.014804,1.022234,1.037095,1.066816,1.096537,1.118233
0.183673,1.126710,1.011420,3.448205,2.561339,1.019434,1.027447,1.043475,1.075530,1.107586,1.121535
0.214286,1.126710,1.016636,3.448205,2.561339,1.025285,1.033933,1.051231,1.085825,1.119596,1.123278
0.244898,1.126710,1.023646,3.448205,2.561339,1.033094,1.042543,1.061440,1.099234,1.129626,1.124845
0.275510,1.126710,1.032559,3.448205,2.561339,1.042967,1.053376,1.074192,1.115825,1.137280,1.126376
0.306122,1.126710,1.044505,3.448205,2.561339,1.056111,1.067717,1.090929,1.136966,1.143986,1.127753
0.336735,1.126710,1.059731,3.448205,2.561339,1.072736,1.085740,1.111749,1.156843,1.149712,1.128927
0.367347,1.126710,1.078897,3.448205,2.561339,1.093521,1.108146,1.137395,1.173081,1.153242,1.129738
0.397959,1.126710,1.104475,3.448205,2.561339,1.121103,1.137731,1.170801,1.186807,1.156847,1.130788
0.428571,1.126710,1.134940,3.448205,2.561339,1.153834,1.172728,1.203983,1.199054,1.160630,1.131685
0.459184,1.126710,1.174943,3.448205,2.561339,1.196524,1.216676,1.233863,1.209085,1.163209,1.132428
0.489796,1.126710,1.225552,3.448205,2.561339,1.245966,1.258298,1.259675,1.217807,1.165541,1.131997
0.520408,1.126710,1.345524,3.448205,2.561339,1.293363,1.295786,1.281902,1.225093,1.167715,1.132970
0.551020,1.126710,1.487543,3.448205,2.561339,1.337195,1.331027,1.304062,1.234130,1.170794,1.134400
0.581633,1.126710,1.606717,3.448205,2.561339,1.375221,1.360248,1.322973,1.239410,1.172341,1.133585
0.612245,1.126710,1.712859,3.448205,2.561339,1.408819,1.387416,1.338495,1.245829,1.173855,1.134517
0.642857,1.126710,1.806119,3.448205,2.561339,1.440563,1.412940,1.355177,1.250658,1.175645,1.135012
0.673469,1.126710,1.889787,3.448205,2.561339,1.467755,1.433884,1.367373,1.254379,1.176655,1.135086
0.704082,1.126710,1.963395,3.448205,2.561339,1.495549,1.456457,1.382672,1.260531,1.178412,1.136448
0.734694,1.126710,2.029557,3.448205,2.561339,1.517468,1.472784,1.391961,1.263674,1.178633,1.135985
0.765306,1.126710,2.090286,3.448205,2.561339,1.537857,1.489619,1.402156,1.267825,1.179763,1.135479
